Epoch,Date,Epoch Duration (days),SOL Price (USD),Inflation Reward (SOL),Fee Reward (SOL),MEV Reward (SOL),Total Reward (SOL),Total Reward (USD),Fee Share (%),Base Fee (SOL),Priority Fee (SOL),Total Fee TX (SOL),Priority Fee (%),Burned (SOL),Net Inflation (SOL),Active Stake (SOL),Total Supply (SOL),Staked Ratio (%),Validator Count,Commission Rate (%),Commission Rev (SOL),Commission Rev (USD),Stake Accounts,Inflation APY (%),Fee APY (%),MEV APY (%),Total APY (%),FDV (USD)
150,2021-02-10,3.0,8.21,213841.9,689.9,,214531.8,1761977.0,0.32,,,,,689.9,213151.9,137559468.0,485959096.0,28.31,446,10.29,22007.1,180747.0,9738,18.93,0.0611,,18.99,3991242800.0
151,2021-02-13,3.0,9.07,213744.9,649.8,,214394.6,1943852.0,0.3,,,,,649.8,213095.1,125823447.0,486172191.0,25.88,467,10.44,22312.5,202301.0,4932,20.68,0.0629,,20.75,4407978080.0
152,2021-02-16,3.0,8.51,213647.8,769.3,,214417.1,1823908.0,0.36,,,,,769.3,212878.6,155343988.0,486385070.0,31.94,480,10.18,21757.4,185076.0,5571,16.74,0.0603,,16.8,4137363663.0
153,2021-02-19,3.0,10.1,213550.7,859.7,,214410.4,2166558.0,0.4,,,,,859.7,212691.0,168792636.0,486597761.0,34.69,482,9.96,21262.8,214855.0,6026,15.4,0.062,,15.47,4916935205.0
154,2021-02-23,3.79,14.16,213453.5,782.4,,214235.9,3033513.0,0.37,,,,,782.4,212671.2,203261328.0,486810432.0,41.75,488,9.41,20076.7,284280.0,6402,10.12,0.0371,,10.15,6893083585.0
155,2021-02-27,3.58,13.83,213356.3,744.2,,214100.5,2962050.0,0.35,,,,,744.2,212612.2,215463874.0,487023044.0,44.24,493,9.33,19902.1,275343.0,7068,10.09,0.0352,,10.13,6737896170.0
156,2021-03-02,3.58,14.39,213259.1,635.7,,213894.8,3078258.0,0.3,,,,,635.7,212623.4,236109087.0,487235667.0,48.46,496,9.14,19487.0,280446.0,7548,9.21,0.0274,,9.23,7012031805.0
157,2021-03-06,3.46,12.47,213161.9,633.5,,213795.3,2666020.0,0.3,,,,,633.5,212528.4,245194966.0,487448196.0,50.3,503,9.19,19598.0,244386.0,7846,9.18,0.0273,,9.21,6078462075.0
158,2021-03-09,3.04,14.28,213064.6,604.2,,213668.8,3051324.0,0.28,,,,,604.2,212460.5,242945710.0,487660656.0,49.82,507,9.09,19374.1,276674.0,8050,10.53,0.0299,,10.56,6964098958.0
159,2021-03-12,3.0,15.47,212967.3,556.3,,213523.6,3303811.0,0.26,,,,,556.3,212411.0,249650354.0,487873067.0,51.17,508,9.14,19467.7,301220.0,8269,10.39,0.0271,,10.41,7548768493.0
160,2021-03-15,2.83,14.25,212870.0,549.0,,213419.1,3040518.0,0.26,,,,,549.0,212321.0,242861525.0,488085388.0,49.76,510,9.23,19641.3,279824.0,8460,11.3,0.0291,,11.33,6953606778.0
161,2021-03-17,2.83,13.63,212772.7,528.7,,213301.4,2908032.0,0.25,,,,,528.7,212244.0,245104350.0,488297632.0,50.2,511,9.2,19570.7,266815.0,8637,11.19,0.0278,,11.22,6657175250.0
162,2021-03-20,2.67,14.52,212675.3,534.4,,213209.8,3095828.0,0.25,,,,,534.4,212140.9,245852265.0,488509773.0,50.33,534,24.69,52520.0,762596.0,7184,11.85,0.0298,,11.88,7093212792.0
163,2021-03-23,2.79,14.57,212577.9,556.8,,213134.7,3106194.0,0.26,,,,,556.8,212021.2,247190104.0,488721794.0,50.58,534,24.77,52666.0,767547.0,9009,11.25,0.0295,,11.28,7122560159.0
164,2021-03-26,2.88,13.83,212480.5,545.5,,213026.0,2946031.0,0.26,,,,,545.5,211935.0,244373222.0,488933729.0,49.98,532,25.31,53788.8,743869.0,9043,11.05,0.0284,,11.07,6761681847.0
165,2021-03-29,2.92,18.39,212383.0,540.4,,212923.4,3916697.0,0.25,,,,,540.4,211842.6,241343435.0,489145572.0,49.34,537,25.6,54364.5,1000028.0,9172,11.02,0.028,,11.05,8997764859.0
166,2021-04-01,3.0,19.43,212285.5,531.4,,212816.9,4134834.0,0.25,,,,,531.4,211754.1,243873831.0,489357326.0,49.84,537,25.43,53992.8,1049030.0,9370,10.6,0.0265,,10.62,9507754072.0
